ID,Folio,Tipo_Documento,Proveedor,Proveedor_Raw,Fecha_Compra,Monto_Factura,Ajustes,Monto_Pagar,Forma_Pago,Categoria,Estado,Fecha_Pago,Credit_Days,Comprobante,Fecha_Pago_Real,Created_At,Items_JSON,Foto_URL,Version
HIST25_1,582538,Remisión,Productos Lácteos Los Pinos (7 DÍAS),Productos Lácteos Los Pinos (7 DÍAS),2025-01-02,518.0,0,518.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-07,5,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_2,68297,Factura,DIPACSA (7 días),DIPACSA (7 días),2025-01-02,1536.6,0,1536.6,Transferencia,Adquisición de mercancias,Pagado,2025-01-07,5,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_3,1682,Factura,SURTIDORA BOTANAS (7 DÍAS),SURTIDORA BOTANAS (7 DÍAS),2025-01-02,808.5,0,808.5,Transferencia,Adquisición de mercancias,Pagado,2025-01-07,5,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_4,66947,Factura,PROMAR DEL NORTE (14 DÍAS),PROMAR DEL NORTE (14 DÍAS),2025-01-02,3654.7,0,3654.7,Transferencia,Adquisición de mercancias,Pagado,2025-01-16,14,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_5,32097,Factura,Papas Santa Fe / Procepap (7 dias),Papas Santa Fe / Procepap (7 dias),2025-01-02,693.0,0,693.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-07,5,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_6,260595,Factura,MEDFRUT (7 DÍAS),MEDFRUT (7 DÍAS),2025-01-03,952.4,0,952.4,Transferencia,Adquisición de mercancias,Pagado,2025-01-08,5,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_7,98384,Factura,Diplas / Hector A Portillo (20 días),Diplas / Hector A Portillo (20 días),2025-01-02,2198.23,0,2198.23,Transferencia,Gastos en General,Pagado,2025-01-22,20,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_8,T,Factura,Costco,Costco,2025-01-02,803.44,0,803.44,Tarjeta,Gastos en General,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_9,T,Factura,Costco,Costco,2025-01-02,668.0,0,668.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_10,T,Factura,Sam's Club,Sam's Club,2025-01-02,710.0,0,710.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_11,#F,Factura,SUKARNE,SUKARNE,2025-01-03,3369.5,0,3369.5,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_12,27142,Factura,SUKARNE,SUKARNE,2025-01-02,3448.3,0,3448.3,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_13,27143,Factura,SUKARNE,SUKARNE,2025-01-02,3538.6,0,3538.6,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_14,t,Factura,Alsuper,Alsuper,2025-01-02,254.69,0,254.69,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_15,T,Factura,Alsuper,Alsuper,2025-01-02,31.8,0,31.8,Tarjeta,Gastos en General,Pendiente,,0,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_16,T,Factura,Alsuper,Alsuper,2025-01-04,265.81,0,265.81,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_17,27164,Factura,SUKARNE,SUKARNE,2025-01-04,3699.4,0,3699.4,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_18,27163,Factura,SUKARNE,SUKARNE,2025-01-04,3643.0,0,3643.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_19,36702887,Factura,Bachoco,Bachoco,2025-01-03,11283.22,0,11283.22,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_20,122562,Factura,EMPAQUES Y ENVASES/JOSE LUIS MORALES GARCIA (7 días),EMPAQUES Y ENVASES/JOSE LUIS MORALES GARCIA (7 días),2025-01-04,315.0,0,315.0,Tarjeta,Gastos en General,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_21,150513,Factura,Colesa (7 días),Colesa (7 días),2025-01-04,1267.6,0,1267.6,Transferencia,Adquisición de mercancias,Pagado,2025-01-09,5,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_22,68386,Factura,DIPACSA (7 días),DIPACSA (7 días),2025-01-04,835.0,0,835.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-09,5,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_23,2390,Factura,Paser / Araceli V. Padilla (14 dias),Paser / Araceli V. Padilla (14 dias),2025-01-04,827.5,0,827.5,Transferencia,Adquisición de mercancias,Pagado,2025-01-18,14,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_24,146833,Factura,Abarrotes Inst. (7 días),Abarrotes Inst. (7 días),2025-01-03,1239.0,0,1239.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-09,6,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_25,110077,Factura,Colesa (7 días),Colesa (7 días),2025-01-03,864.1,0,864.1,Transferencia,Adquisición de mercancias,Pagado,2025-01-09,6,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_26,260699,Factura,MEDFRUT (7 DÍAS),MEDFRUT (7 DÍAS),2025-01-04,225.0,0,225.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-09,5,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_27,27194,Factura,SUKARNE,SUKARNE,2025-01-07,3674.03,0,3674.03,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_28,27193,Factura,SUKARNE,SUKARNE,2025-01-07,3521.77,0,3521.77,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_29,122641,Factura,EMPAQUES Y ENVASES/JOSE LUIS MORALES GARCIA (7 días),EMPAQUES Y ENVASES/JOSE LUIS MORALES GARCIA (7 días),2025-01-07,286.5,0,286.5,Tarjeta,Gastos en General,Pendiente,,0,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_30,07012025,Factura,La Espiga Dorada  / JUAN MANUEL CASTRO (7 días),La Espiga Dorada  / JUAN MANUEL CASTRO (7 días),2025-01-07,990.0,0,990.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-12,5,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_31,113779,Factura,Colesa (7 días),Colesa (7 días),2025-01-07,583.5,0,583.5,Transferencia,Adquisición de mercancias,Pagado,2025-01-12,5,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_32,67045,Factura,PROMAR DEL NORTE (14 DÍAS),PROMAR DEL NORTE (14 DÍAS),2025-01-07,4176.8,0,4176.8,Transferencia,Adquisición de mercancias,Pagado,2025-01-21,14,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_33,T,Factura,Sam's Club,Sam's Club,2025-01-04,224.0,0,224.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_34,t,Factura,Sam's Club,Sam's Club,2025-01-06,1128.0,0,1128.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_35,T,Factura,Sam's Club,Sam's Club,2025-01-04,574.0,0,574.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_36,T,Factura,City Club,City Club,2025-01-04,336.0,0,336.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_37,T,Factura,Costco,Costco,2025-01-04,718.0,0,718.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-04T12:00:00,,,1
HIST25_38,T,Factura,Gelos Market,Gelos Market,2025-01-06,29.97,0,29.97,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_39,020915,Factura,INIX COMERCIAL (20 DÍAS),INIX COMERCIAL (20 DÍAS),2025-01-06,2213.07,0,2213.07,Transferencia,Gastos en General,Pagado,2025-01-26,20,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_40,260882,Factura,MEDFRUT (7 DÍAS),MEDFRUT (7 DÍAS),2025-01-07,518.0,0,518.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-12,5,Pendiente,,2025-01-07T12:00:00,,,1
HIST25_41,T,Factura,Alsuper,Alsuper,2025-01-06,292.34,0,292.34,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_42,68415,Factura,DIPACSA (7 días),DIPACSA (7 días),2025-01-06,813.6,0,813.6,Transferencia,Adquisición de mercancias,Pagado,2025-01-11,5,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_43,260792,Factura,MEDFRUT (7 DÍAS),MEDFRUT (7 DÍAS),2025-01-06,890.0,0,890.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-11,5,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_44,27180,Factura,SUKARNE,SUKARNE,2025-01-06,3462.5,0,3462.5,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_45,27179,Factura,SUKARNE,SUKARNE,2025-01-06,5382.4,0,5382.4,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_46,0237,Remisión,NARANJA Y LIMÓN (7 DÍAS),NARANJA Y LIMÓN (7 DÍAS),2025-01-03,850.0,0,850.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-09,6,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_47,t,Factura,Sam's Club,Sam's Club,2025-01-03,885.0,0,885.0,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_48,t,Factura,SORIANA,SORIANA,2025-01-03,119.6,0,119.6,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_49,53428,Factura,EMPAQUES Y ENVASES/JOSE LUIS MORALES GARCIA (7 días),EMPAQUES Y ENVASES/JOSE LUIS MORALES GARCIA (7 días),2025-01-06,1236.83,0,1236.83,Transferencia,Gastos en General,Pagado,2025-01-11,5,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_50,19586,Factura,Quesos y + Quesos / Armando Villanueva (7 días),Quesos y + Quesos / Armando Villanueva (7 días),2025-01-06,2528.3,0,2528.3,,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_51,2398,Factura,Paser / Araceli V. Padilla (14 dias),Paser / Araceli V. Padilla (14 dias),2025-01-06,827.5,0,827.5,Transferencia,Adquisición de mercancias,Pagado,2025-01-20,14,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_52,14530,Factura,ERO Grande (20 días),ERO Grande (20 días),2025-01-06,1007.0,0,1007.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-11,5,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_53,40837,Remisión,"AGYDSA ""Aceite"" (7 días)","AGYDSA ""Aceite"" (7 días)",2025-01-06,1400.0,0,1400.0,Transferencia,Adquisición de mercancias,Pagado,2025-01-11,5,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_54,36719543,Factura,Bachoco,Bachoco,2025-01-06,14748.81,0,14748.81,Tarjeta,Adquisición de mercancias,Pendiente,,0,Pendiente,,2025-01-06T12:00:00,,,1
HIST25_55,#FACTURA18628,Factura,Aseo y Recolección Estrada (14 días),Aseo y Recolección Estrada (14 días),2025-01-09,1901.96,0,1901.96,Transferencia,Gastos en General,Pagado,2025-01-27,18,Pendiente,,2025-01-09T12:00:00,,,1
HIST25_56,#FACTURA,,NÓMINA,NÓMINA,2025-01-03,24638.0,0,24638.0,COBRO AUTOMÁTICO,Gastos en General,Pendiente,2025-01-03,0,Pendiente,,2025-01-03T12:00:00,,,1
HIST25_57,#FACTURA,,SODEXO,SODEXO,2025-01-02,2686.77,0,2686.77,COBRO AUTOMÁTICO,Gastos en General,Pendiente,2025-01-03,1,Pendiente,,2025-01-02T12:00:00,,,1
HIST25_58,#FACTURA,,PENSIÓN ALIMENTICIA,PENSIÓN ALIMENTICIA,2025-01-03,866.12,0,866.12,COBRO AUTOMÁTICO,Gastos en General,Pendiente,2025-01-03,0,Pendiente,,2025-01-03T12:00:00,,,1
