ID,Fecha,DiaSemana,VentasDia,PagosRecibidos,Tarjeta,Transferencias,Cashback,StoreCredit,2ndoSocios,2ndoNominas,Sobre2,Cocina1,Cocina2,Cocina3,Produccion1,Produccion2,Produccion3,Casa1,Casa2,Express,Granja,FrutasVerduras,ProveedorVentas,MermasCanastas,Pedidos,Mixto,IvaAVenta,DepositoBBVA,FactClientes,FactGen1,FactGen2,FactGen3,FactGen4,FactGen5,FactGen6,FacturasCFDI,TotalFacturado,TotalXFacturar,FaltaFactura,Mes,MesNumero,Created_At,Updated_At
HIST25_0001,2025-01-01,Miércoles,205.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0002,2025-01-02,Jueves,40551.02,41725.68,27430.64,0.0,0.0,0,5000.0,0.0,5000.0,5828.4,5881.0,0,650.0,1420.12,2838.97,2130.79,4089.01,8933.09,125.0,111.98,2027.78,0.0,-10.0,4170.0,900.94,9295.04,193.46,36708.54,0.0,0.0,0.0,0.0,0.0,1702-1703,36902.0,36725.68,-176.32,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0003,2025-01-03,Viernes,49352.47,48770.47,32764.13,0.0,0.0,0,5000.0,0.0,5000.0,6937.6,6548.5,0,819.0,2721.07,3700.26,1874.0,4500.37,11778.97,50.0,75.86,1235.5,0.0,0.0,6474.0,1317.58,11006.34,1681.56,42086.48,0.0,0.0,0.0,0.0,0.0,1704-1709,43768.04,43770.47,2.43,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0004,2025-01-04,Sábado,29214.87,29796.87,19656.86,304.0,0.0,0,4000.0,0.0,4000.0,4234.1,5028.0,0,711.0,861.83,2008.82,1549.33,2864.61,6174.37,80.0,23.52,763.04,0.0,20.0,3456.8,656.8,5836.01,0.0,25796.29,0.0,0.0,0.0,0.0,0.0,1741-1742,25796.29,25796.87,0.58,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0005,2025-01-05,Domingo,1108.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,125.0,48.0,0,0.0,56.0,78.0,0.0,0.0,359.12,0.0,0.0,62.0,0.0,0.0,261.0,51.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0006,2025-01-06,Lunes,67688.7,68120.7,44187.26,502.91,0.0,0,4000.0,1400.0,5400.0,10490.4,10646.4,0,674.0,2916.55,4273.64,4041.03,6186.51,16778.73,215.0,123.64,1714.67,0.0,20.0,7467.0,1781.62,18030.53,976.9,61742.42,0.0,0.0,0.0,0.0,0.0,"1710,1711,1712,1745-1746",62719.32,62720.7,1.38,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0007,2025-01-07,Martes,63824.58,64501.08,41737.03,0.0,0.0,0,4000.0,1000.0,5000.0,10490.4,10646.4,0,674.0,2916.55,4273.64,4041.03,6186.51,16778.73,215.0,123.64,1714.67,0.0,20.0,7467.0,1781.62,17764.05,152.06,59348.97,0.0,0.0,0.0,0.0,0.0,"1716,1747,1748",59501.03,59501.08,0.05,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0008,2025-01-08,Miércoles,57983.86,57983.63,38222.59,0.0,0.0,0,0.0,0.0,0.0,7853.2,9730.2,0,681.0,3418.52,5659.14,3018.79,4680.48,12831.89,286.3,71.71,1667.03,0.0,49.0,6784.0,1252.37,19761.04,1047.5,56936.1,0.0,0.0,0.0,0.0,0.0,"1713,1714,1715,1749-1750-1751",57983.6,57983.63,0.03,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0009,2025-01-09,Jueves,51104.01,51104.01,31245.97,0.0,0.0,0,0.0,2500.0,2500.0,6598.7,8084.0,0,319.0,1458.12,4070.89,3055.5,4709.19,14163.75,243.8,151.22,1357.27,0.0,0.0,5504.0,1349.57,17358.04,0.0,48604.43,0.0,0.0,0.0,0.0,0.0,1752-1756,48604.43,48604.01,-0.42,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
HIST25_0010,2025-01-10,Viernes,26020.02,25623.02,20128.67,0.0,0.0,0,0.0,528.0,528.0,4097.7,4714.0,0,239.0,367.0,1333.47,778.0,1848.4,8640.44,113.79,66.32,648.69,18.0,10.0,2231.9,884.31,4966.35,211.14,24884.19,0.0,0.0,0.0,0.0,0.0,"1717, 1757",25095.33,25095.02,-0.31,Enero,1,2026-03-01T17:54:53.519330,2026-03-01T17:54:53.519330
